timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2021-11-19,@783_12 my biggest fear holy,b'daisybabyyx',[],,313,0,0
2021-11-19,@KeithOlbermann Ha ha. NOT GUILTY. Enjoy your pain.,b'chupohead',[],SoCal,1,0,0
2021-11-19,😭 another day/night in pain. Waiting for the morphine to kick in 😣 https://t.co/oUsmVFaacC,b'Raine052231',[],"Nuneaton, England",3355,0,0
2021-11-19,"On the upside,Iowa drug czar Dale Woolery points to recent federal studies that rank Iowa sixth lowest in the nation in the rate of total illicit drug use and fifth lowest in the rate of drug overdose deaths. But the bad news is that alcohol- and drug-related deaths have risen...",b'FiyyazAhmed_06',[],WORLDWIDE🌍,1325,0,0
2021-11-19,"@ebuckleydiaz My fear of her still being around at Christmas has lessened since noticed Michael is also listed in that episode, and we all know he already left",b'Kass648',[],Canada,26,0,0
2021-11-19,@paigey_h98 @thetaylerward @notwizkahlissa @LilBeanDip5012 i’ve never called the cops for anything in my life sis don’t worry,b'honkytonkthot',[],satx ,8482,0,0
2021-11-19,"When I was 17, me and three buddies thought it was a good idea to TRASH an automated gas station… … alcohol might have DEFINITELY been involved.🍺 No one was there, but apparently we forgot surveillance cameras exist. Three days later the COPS showed up at Jason’s house…",b'MrJLCharbonneau',[],"Kansas City, KS",124,0,0
2021-11-19,#KyleIsInnocent #AntiFascist no respect for you american leftists who claim they are anti fascists while doing the same thing as hilter and his S.A did #BlackLivesMatter to the black folk. kyle is hispanic and people attacking him were white. its not #WhiteSupremacy so no worry,b'amongusman11',"['KyleIsInnocent', 'AntiFascist', 'BlackLivesMatter', 'WhiteSupremacy']",,0,0,0
2021-11-19,"Over the past 3 decades, conservatives have normalized gun death as an acceptable outcome of any white person's fear or anger. I am an optimistic person (my privilege allows this), but it is hard to see our way through this, certainly not without a great deal more pain &amp; death.",b'davidnett',[],Los Angeles,3540,0,0
2021-11-19,My pain tolerance is high af. But a headache will bring me to my knees 😭,b'kaneshaaaaaa',[],📍NC,963,0,0
2021-11-19,@TheBonTindle Right now what I need help with i know you can't do but I think I have one person that says he shall help Sunday or Monday. Cleaning the house is next to impossible for me. There is to much pain when I move. I know I'm not eating enough because it hurts to much to move as well.,b'HublouAlicia',[],"Missouri, USA",17,0,0
2021-11-19,What drugs are you on? https://t.co/o9pfzlnCt6,b'NoMoneyMitch_',[],"Round Lake, IL",146,0,0
2021-11-19,@robertmarawa @SundownsLadies The pain went straight to all Ghanaians 👌🏾👌🏾 Bafana Bafana is also coming for them.. Ziyakhala 😂😂😂,b'Djmkhakha',[],Durban,268,0,0
2021-11-19,@Gazzamb @adam__friend @RealJamieKay @sainsburys I drive my own 3.7 litre petrol Mercedes 4x4 and like you I don’t worry silly things like the price of petrol 😻👍,b'iansmit58861933',[],,406,0,0
2021-11-19,"""I’m praying for everyone who is grieving, angry and afraid. And I’m praying for an end to the right-wing violence we’ve seen from Charlottesville, Virginia, to the Tree of Life synagogue, to El Paso, to Minneapolis, to Kenosha, to the Capitol and beyond.""",b'FaithPublicLife',[],"Washington, DC",18015,0,0
2021-11-19,"I'm sorry if I didn't follow you, I'll do this again in a few days and you'll have the opportunity, don't worry! https://t.co/Q8fymu7FzA",b'lovelovetbsl',[],¡🔔!,998,0,0
2021-11-19,Radio just now. Don't Worry About a Thing followed by Things Can Only Get Better. Good job universe 👍,b'WildCat_13',[],"Melbourne, Australia",452,0,0
2021-11-19,@TanyaDennis Lamenting. Yes. And afraid. Nothing feels safe.,b'TinaMHunt',[],"Green Valley, AZ",1094,0,0
2021-11-19,"@JonathonKamuf @sam_vallely @ajplus @chicagotribune It definitely is part of the issue. If you call someone a looter or a rioter &amp; the claim is self defense, do those names not evoke a sense of fear? Words matter.",b'whosgoin2hireme',[],Wherever the jobs are,38,0,0
2021-11-19,"""In the eclipse of the sun the green is condemned to ashes the birds suffocate in fear for the unknown is approaching"" The Seeker",b'NellySachs1',[],,0,0,0
2021-11-19,"Adele just launch her new album on Spotify and I’m all tears at work. This b!tch knows how to write and sing about love, even during a period of pain (her divorce). My favorite song: Love is a game. 😭🖤",b'tiepazos',[],"Los Angeles, CA",82,0,0
2021-11-19,@MerryDtkq astrology is real i fear,b'rollwithsage',[],19 • He/They,4660,0,0
2021-11-19,"""Regardless of your politics, you should be rooting for @uaustinorg to succeed. But in a crucial way, it already has, by clarifying that the current intellectual scene is divided between those who act out of fear and those who build out of hope."" https://t.co/T5vIQqqEKF",b'AriHoffmanWrite',[],"New York, NY",858,0,0
2021-11-19,@_delconte MAYBE WORRY ABOUT BEATING 1-8 KANSAS BEFORE YOU HOP ON THE IM SUCH A VICTIM TRAIN BULLSHIT,b'BadChick6969',[],Austin TX,20,0,0
2021-11-19,@maffrj Yeah I bought the first four. Mostly because I adore LGM and Pure Phase and wanted copies I could play without worrying! I assume they’ll do live at the Albert hall next.,b'popty_ping_',[],North Wales,2728,0,0
2021-11-19,"@mikethewatchman A noble statement, but it comes with much pain.",b'MitrovGeorge',[],Australia,23,0,0
2021-11-19,"""The longer you live, the more you realize that reality is just made of pain, sufferings and emptiness"" -Madara Uchiha [Naruto Shippuden]",b'AniManGameFC',[],,92,0,0
2021-11-19,I wanted to go into Portland today because I haven’t been able to just walk around in awhile due to finances and lack of time. Now I’m afraid to because I know this will happen https://t.co/XXgXS33bHh,b'twlo_ashley',[],,235,0,0
2021-11-19,"All that pain in that marriage Adele sharing on this album and she still told her son, “I love your dad because he gave you to me.” 😢",b'BrioJoy',[],,584,0,0
2021-11-19,@mpeachmfalready I am not trying to minimize the abject shittiness of these events or the pain that so many are feeling. hope that wasn't in question ♥️,b'dannotdaniel',[],America? I hardly knew ye.,5514,0,0
2021-11-19,@redsjacketart What? Those are just friendship bracelets. Nothing to worry about.,b'Testsubject276',[],RAPIDLY APPROACHING,14,0,0
2021-11-19,@WilliamAHirsch Enjoy your birthday celebration. I also feel relieved that I now live in a country and continent where I can go to the grocery store without running into people with AR 15s strapped to their bodies and worry about accidentally bumping into them in the check out line. Lunacy.,b'teresahak',[],,11449,0,0
2021-11-19,"According to chemistry, alcohol is a solution",b'_Barrack__',[],Nomad,2069,0,0
2021-11-19,GUYS HE REALLY DID I FEAR. https://t.co/fTv7cY3ywa https://t.co/5r3TTuSf5n,b'annofficial26',[],tear ღ,195,0,0
2021-11-19,"@JimCosta_ Jim...you are too good for this. Stop. DC is definitely not perfect, but it's a tad bit early to push the negativity narrative.",b'bcarr1977',[],,47,0,0
2021-11-19,"@QConteret @Johngcole Jesus, dude, I was stating a fear of mine, not debating anything. Go be annoying somewhere else.",b'WinoHippie',[],Indianapolis,1034,0,0
2021-11-19,"@soult_oucher @RoyalReporter U MFs r so desperate. Look, Will &amp; Kate have 3 kids. Worry about those. Harry’s Children are Americans. They will be just fine.",b'Chantelmorris',[],United States,52,0,0
2021-11-19,"16 Months Carnivore today.. lost 68 pounds, hashimotos is in remission, no alcohol either and started bodybuilding again!! https://t.co/5hPSea2mIy",b'angelavankleeck',[],"Arizona, USA",64,0,0
2021-11-19,@iGetsPT I had the same negativity and stress from the same emails LOL,b'JCorey_',[],,1664,0,0
2021-11-19,"Though he’s deadpan, Chuuya recognizes the comment as half serious and half an attempt to make him laugh. It doesn’t steal more than a quick smirk, but the redhead plenty appreciates the effort. “That’s good, I guess,” he says. “You don’t have to worry about it, Chuuya-kun.”",b'Blind_Blossom',[],,3587,0,0
2021-11-19,Oops. Here's the book link: https://t.co/jOWtX25Dkd,b'osuhistorydept',[],"Columbus, OH",2271,0,0
2021-11-19,@4haez be having the girls tea i’m afraid https://t.co/B00CBuNyV7,b'PNKNWHlTE',[],trying not to jump | she/her,266,0,0
2021-11-19,While some tech Has caused Pain There is tech that is so cool That enables us To see things We care about at a distance. That way you need Not stop your care Nor make calls For no reason. Am thankful Before Thanksgiving Day. Still in My sweat spot enjoying It roll down. https://t.co/6J8TL2Ro3s,b'therazol',[],,46,0,0
2021-11-19,"@TorranceBernie @KimIversenShow @JustinInBmore Also If #BigPharma wasnt so 💵 hungry, &amp;if they had actualy pursured other remedies like repurposed drugs, &amp;educated the @CDCgov &amp; #CorporateNews they wudnt hav created a demand shortage of prescribed #Ivermectin forcing people 2look elsewhere like #BlackMarkets &amp;@TractorSupply🙄",b'TheXir',"['BigPharma', 'CorporateNews', 'Ivermectin', 'BlackMarkets']",'Cuse/NYC/EstrnShore/TheBurgh,191,0,0
2021-11-19,@ReallyUlysses @ABC lmao dont worry he will be very very rich after he sues all the media outlets for slander and defamation of character,b'freddiew74',[],Ozone Park queen's ny,246,0,0
2021-11-19,I’ve noticed that some of us spiritual entrepreneurs are really hiding how spiritual we are on our business Instagrams because we are afraid of what some might think.🤔,b'OverTheMoonCopy',[],,1,0,0
2021-11-19,"The society they built to give themselves power also gave us that same power, but because we're not shitlords we can turn it around and use it on them. You have to let go of your fear that you can't do it. You can. It's gonna be hard. You're gonna shake with nerves every time.",b'Xandara',[],"Williamsburg, VA",1210,0,0
2021-11-19,that I didn't see the pain she was tryna hide.She didnt have a dad which ig was one of the main reasons that mumani married her off this soon.khair it's been 6years now.she has 2 children.her shohar seems fine.she shows herself to be happy satisfied with her life but deep down,b'bombasthic',[],"Islamabad, Pakistan",158,0,0
2021-11-19,@Kattg0v0 You delivered it well sunbae 👍🧡 don't worry! and Sul should teach him modern words 🤣,b'aaahh_wae',[],exo planet,18,0,0
2021-11-19,"@iwangulenko @dvassallo @JamesMarsh79 @shl Daniel is from Malta. Definitely most of us are more 'pessimistic' or have lower expectations, which is better for the average person mental health but also has consequences, such as less unicorns... @PaulSkallas has something in his last letter on this. https://t.co/Chl0IcYzYO",b'NachoOliveras',[],"Ginebra, Suiza",2513,0,0
2021-11-19,@BelowAvgGymLdr2 Pain 😞,b'DetectiveFury',[],You know ,441,0,0
2021-11-19,I need lots of alcohol,b'SteCharity',[],,274,0,0
2021-11-19,"My deepest condolences to the families of the victims. Two people killed, 36yo Joseph Rosenbaum, Kenosha &amp; 26yo Anthony Huber, Silver Lake, Wisconsin &amp; Gaige Grosskreutz, 27, the wounded protester, West Allis. Your losses &amp; pain are felt all over the world. I am so very sorry.",b'Clentera',[],1st,8781,0,0
2021-11-19,"@ChoodKSU2015 If the police refuse to protect you for fear of being called racist you should just die when the mob comes for you. Christian, you know I love you, but you’re lookin at this backwards as hell.",b'Doc_Pox',[],mother's basement,534,0,0
2021-11-19,"@PatrickPieper1 @Buzzsaws1990 @Moeknows4 @bvalltu73 @bortgale3 @Zaphoid @dude_elect @whatisthereaso3 @Granite603 @JesseASweeney @Tammypaulson20 @gunkrunner @mazero999999 @_bahhumbug @XanDer52690115 @James_Harnish @Pfaffeist @Kobi_Lou96 @appleeldridge @freekyleusa The question was never whether one can act based upon a reasonable fear despite uncertainty about the outcome, but rather about what acts one can take to prevent an adverse outcome. Obviously the jury thought Kyle’s acts were ok.",b'elmo_slayer',[],,8,0,0
2021-11-19,@4theculture____ The pain that that had to be,b'MasterSykil',[],"Atlanta, GA",114,0,0
2021-11-19,@TimesONeill So very sorry to hear about your tremendous loss. The very worst thing in life is to lose your child. I hope time eases the life long pain &amp; your memories are a comfort. Look after yourselves.,b'janej05',[],"London, England",1440,0,0
