polaridad,subjetividad,sentimiento,word_count
0.9186,0.5011363636363636,pos,25
-0.6808,0.9,neg,11
0.8689,0.5611111111111111,pos,28
-0.6124,0.4,neg,25
0.0,0.75,neu,8
0.796,0.485,pos,24
-0.8176,0.675,neg,8
0.7783,0.65,pos,17
-0.6808,0.0,neg,4
0.1027,0.0,neu,4
-0.2023,0.35714285714285715,neu,14
-0.8074,0.8333333333333333,neg,13
0.8553,0.6444444444444444,pos,26
-0.4939,0.0,neu,11
-0.4939,0.0,neu,6
0.4939,0.3,neu,14
0.3182,0.7,neu,26
-0.128,0.0,neu,8
0.0,0.0,neu,10
-0.3612,0.5625,neu,25
0.0,0.0,neu,3
0.6705,0.3,pos,15
-0.9042,0.7,neg,27
0.34,0.5904761904761905,neu,10
-0.4404,0.0,neu,7
-0.5106,0.5,neg,5
-0.2023,0.21428571428571427,neu,12
-0.6124,0.7854166666666667,neg,13
0.2247,0.3444444444444444,neu,25
0.6259,0.0,pos,5
-0.0258,0.41666666666666663,neu,8
-0.1779,0.7833333333333333,neu,6
-0.1027,0.6000000000000001,neu,9
0.4588,0.9,neu,3
0.0772,0.6000000000000001,neu,11
0.3612,0.0,neu,4
-0.6369,1.0,neg,10
0.7967,0.25,pos,22
0.3412,0.0,neu,8
0.6273,0.45,pos,15
0.0,0.9,neu,3
-0.6486,0.0,neg,7
-0.0772,0.5,neu,6
-0.4939,0.0,neu,6
0.886,0.5194444444444445,pos,21
-0.5106,0.0,neg,6
-0.5859,0.6,neg,9
0.4939,0.671875,neu,23
0.296,0.35000000000000003,neu,17
-0.5106,0.0,neg,2
-0.4404,0.0,neu,7
-0.7269,0.48333333333333334,neg,15
0.0,0.0,neu,9
0.0,0.0,neu,19
-0.0056,0.3333333333333333,neu,25
-0.6124,0.6749999999999999,neg,14
-0.5053,0.7,neg,10
-0.4404,0.0,neu,4
-0.4939,0.0,neu,9
-0.5106,0.0,neg,4
-0.4939,0.0,neu,11
-0.9393,0.30000000000000004,neg,17
0.7189,0.65,pos,10
0.7398,0.5,pos,15
-0.2023,0.15,neu,8
-0.4404,0.0,neu,8
0.1531,0.3666666666666667,neu,9
-0.4404,0.0,neu,7
-0.5106,0.3333333333333333,neg,4
0.5831,0.9,pos,9
0.1546,0.9444444444444445,neu,15
