polaridad,subjetividad,sentimiento,word_count
-0.4939,0.0,neu,4
-0.4404,0.75,neu,5
-0.5106,0.0,neg,7
-0.875,0.6416666666666666,neg,26
-0.4939,0.0,neu,15
-0.4404,0.0,neu,9
0.6808,0.36250000000000004,pos,27
-0.8271,0.2583333333333333,neg,21
-0.7712,0.38551587301587303,neg,24
-0.2732,0.5399999999999999,neu,7
-0.4404,0.4471428571428572,neu,23
0.0,0.0,neu,2
-0.34,0.4,neu,9
-0.0772,0.875,neu,12
-0.8481,0.95,neg,21
-0.1027,1.0,neu,6
0.4404,0.55,neu,9
-0.4031,0.7,neu,7
0.0258,0.5,neu,18
-0.7269,0.3,neg,11
0.5994,0.6136363636363636,pos,20
-0.4939,0.30000000000000004,neu,4
0.7351,0.6,pos,18
-0.8957,0.05,neg,10
0.8495,0.36666666666666664,pos,22
-0.0772,0.55,neu,6
-0.8519,0.5,neg,12
-0.3182,0.6333333333333333,neu,17
0.5719,0.6,pos,13
0.0258,0.5,neu,11
0.6492,0.0,pos,5
0.128,0.5,neu,25
0.3182,0.0,neu,4
-0.5413,0.2,neg,4
0.5859,0.6333333333333334,pos,13
-0.7096,0.9,neg,12
-0.5267,0.5,neg,15
-0.3182,0.0,neu,12
-0.5106,0.7,neg,5
0.5267,0.4805555555555556,pos,25
0.0,0.0,neu,5
0.0,0.9,neu,6
0.7964,0.625,pos,25
0.25,0.0,neu,28
0.5239,0.875,pos,11
-0.3597,0.41111111111111115,neu,12
-0.6486,0.5416666666666666,neg,21
0.4939,0.5966666666666666,neu,24
-0.2023,0.3,neu,9
0.2263,0.3333333333333333,neu,21
-0.5106,0.0,neg,2
0.0,0.0,neu,3
-0.91,0.35000000000000003,neg,28
-0.9022,0.3,neg,17
-0.552,0.5333333333333333,neg,23
-0.5106,0.0,neg,2
-0.8347,0.85,neg,19
-0.886,0.7666666666666666,neg,20
0.2732,0.7208333333333333,neu,15
-0.1027,0.3452380952380952,neu,10
-0.7184,0.7999999999999999,neg,21
0.8329,0.7311507936507936,pos,28
-0.4404,0.0,neu,7
-0.34,0.4,neu,7
-0.5106,0.0,neg,3
0.25,0.06666666666666667,neu,21
-0.5818,0.4666666666666666,neg,15
0.6249,0.85,pos,12
-0.7269,0.7208333333333333,neg,19
-0.2732,0.0,neu,8
-0.6369,0.5,neg,11
0.2551,0.4,neu,4
-0.8316,0.0,neg,8
0.296,0.49484126984126986,neu,17
0.2023,0.2589285714285714,neu,13
0.0,0.9,neu,10
0.0,0.0,neu,9
-0.4404,0.7,neu,18
-0.7003,0.6428571428571429,neg,7
-0.2732,0.5,neu,13
-0.296,0.46666666666666673,neu,11
0.2263,0.45,neu,23
0.0,0.55,neu,5
-0.4215,0.2708333333333333,neu,20
-0.4601,0.6,neu,4
0.0,0.0,neu,4
-0.0516,0.9,neu,8
-0.4404,0.0,neu,3
0.0772,0.1,neu,9
0.0015,0.41666666666666663,neu,16
0.0772,0.0,neu,3
-0.6124,0.0,neg,22
-0.743,0.43333333333333335,neg,21
-0.5106,0.5,neg,6
-0.5106,0.0,neg,4
0.0,0.9,neu,3
0.7937,0.725,pos,20
-0.6369,0.5339285714285714,neg,22
0.0,0.5,neu,4
-0.5106,0.0,neg,5
0.0,0.45,neu,8
0.8519,0.9333333333333332,pos,24
-0.8271,0.0,neg,27
-0.4404,0.0,neu,5
-0.128,0.25,neu,30
-0.25,0.5166666666666666,neu,9
-0.5859,0.24999999999999997,neg,31
-0.5423,0.6000000000000001,neg,22
0.4588,1.0,neu,15
-0.357,0.5025793650793651,neu,30
-0.296,0.0,neu,5
-0.6705,0.5,neg,19
-0.5106,0.0,neg,5
0.9081,0.71,pos,16
-0.4588,0.7333333333333333,neu,18
-0.3964,0.325,neu,10
-0.9325,0.0,neg,14
-0.4939,0.385,neu,23
-0.34,0.42500000000000004,neu,9
0.5267,0.4666666666666666,pos,18
-0.8555,0.4604166666666667,neg,32
0.34,0.95,neu,9
-0.25,0.45,neu,11
-0.4939,0.0,neu,4
-0.6605,0.5119047619047619,neg,14
-0.743,0.4,neg,8
0.3818,0.3333333333333333,neu,11
-0.9118,0.0,neg,15
0.4449,0.8500000000000001,neu,8
0.8934,0.6796296296296296,pos,17
-0.7926,0.5416666666666666,neg,7
-0.2732,0.0,neu,5
-0.2023,0.0,neu,5
-0.4404,0.0,neu,11
-0.5106,0.30000000000000004,neg,3
-0.5719,0.0,neg,6
0.6698,0.5357142857142857,pos,24
-0.5106,0.0,neg,12
-0.4939,0.5499999999999999,neu,9
-0.7269,0.65,neg,13
0.0296,0.5,neu,4
-0.25,0.8888888888888888,neu,7
0.743,0.41666666666666663,pos,18
-0.7964,0.5,neg,22
-0.7184,0.65,neg,29
-0.0516,0.5,neu,23
-0.8032,0.3875,neg,19
0.2023,0.8333333333333334,neu,5
0.34,0.6666666666666666,neu,8
-0.9114,0.55,neg,13
0.8519,0.3101190476190476,pos,23
0.2315,0.7000000000000001,neu,15
0.5423,0.4597619047619047,pos,19
-0.5574,0.0,neg,19
-0.296,0.44523809523809527,neu,16
-0.5106,0.0,neg,3
-0.5859,0.5,neg,15
0.0,0.9,neu,6
-0.9153,0.45833333333333337,neg,26
0.4019,0.65,neu,23
0.296,0.55,neu,8
0.8481,0.5333333333333333,pos,27
0.6597,0.0,pos,6
-0.2023,0.25,neu,13
-0.6808,0.775,neg,10
0.8176,0.6357142857142858,pos,26
-0.4404,0.0,neu,5
-0.3818,0.9,neu,6
0.2796,0.44166666666666665,neu,21
-0.34,0.0,neu,3
-0.5267,0.5499999999999999,neg,15
-0.25,0.6848484848484849,neu,22
-0.7906,0.575,neg,14
-0.4939,0.0,neu,8
0.678,0.0,pos,11
-0.7579,0.0,neg,12
0.9042,0.6630681818181818,pos,24
0.0,0.9,neu,5
0.2023,0.66,neu,21
-0.3818,0.734375,neu,18
-0.4588,0.9,neu,19
-0.5106,0.0,neg,1
0.3182,0.7,neu,11
0.0258,0.0,neu,4
-0.2263,0.0,neu,4
-0.4767,0.6055555555555555,neu,22
-0.5994,0.9,neg,14
-0.7351,0.36333333333333334,neg,19
-0.9423,0.6928571428571428,neg,21
-0.7096,0.48888888888888893,neg,16
-0.7506,0.0,neg,8
0.9187,0.875,pos,13
-0.1531,0.0,neu,19
-0.6486,0.0,neg,8
0.4588,0.3,neu,12
-0.7579,0.5666666666666667,neg,18
-0.1531,0.5,neu,9
0.743,0.30476190476190473,pos,22
0.0,0.4666666666666666,neu,18
-0.5106,0.0,neg,3
-0.9231,0.2,neg,11
-0.1531,0.5,neu,15
-0.7845,0.0,neg,12
0.4215,0.5599999999999999,neu,29
-0.8126,0.45,neg,18
0.0,0.9,neu,11
-0.872,0.0,neg,12
-0.7579,0.6272727272727273,neg,7
-0.6369,0.5357142857142857,neg,16
-0.4404,0.0,neu,12
-0.6998,0.5,neg,16
0.4019,0.35,neu,7
0.5867,0.2333333333333333,pos,17
0.3612,0.0,neu,6
-0.8176,0.48888888888888893,neg,23
-0.128,0.7,neu,12
-0.9118,0.45,neg,13
-0.4404,0.5515151515151515,neu,13
-0.8682,0.6,neg,19
-0.0772,0.0,neu,8
0.91,0.6000000000000001,pos,6
0.6597,0.75,pos,14
-0.7742,0.4671428571428571,neg,22
-0.7717,0.18333333333333335,neg,19
0.691,0.575,pos,15
0.5994,0.95,pos,5
-0.7096,0.8,neg,18
-0.0772,0.0,neu,4
0.4019,0.9,neu,5
-0.4939,0.75,neu,15
-0.8779,0.5,neg,18
0.2263,0.6125,neu,8
-0.128,0.5,neu,7
-0.3182,0.45,neu,9
-0.6705,0.0,neg,6
-0.8625,0.5479166666666666,neg,26
-0.4019,0.2,neu,23
-0.7351,0.46875,neg,21
-0.6249,0.6083333333333334,neg,21
-0.7506,0.6,neg,9
-0.4215,0.95,neu,8
-0.7003,0.3333333333333333,neg,13
-0.8225,0.4,neg,9
0.0,0.9,neu,3
0.7003,0.51,pos,12
-0.6369,0.6333333333333333,neg,11
-0.5423,0.75,neg,7
0.296,0.0,neu,24
0.0772,0.0,neu,5
-0.4404,0.0,neu,9
0.0,0.9,neu,4
-0.5106,0.6,neg,8
-0.6597,0.7000000000000001,neg,13
-0.0516,0.4,neu,5
-0.631,0.5277777777777778,neg,26
-0.5106,0.8,neg,9
-0.6705,0.32857142857142857,neg,19
-0.5106,0.5,neg,5
0.7435,0.25,pos,9
-0.1027,0.85,neu,7
0.2516,0.16666666666666666,neu,11
-0.34,0.0,neu,9
0.8074,0.8841666666666667,pos,18
0.6435,0.3444444444444444,pos,8
-0.2415,0.43333333333333335,neu,19
-0.2732,0.0,neu,5
-0.128,0.95,neu,5
-0.4939,0.9,neu,5
0.1779,0.0,neu,8
0.8519,0.4777777777777778,pos,27
-0.4588,0.26999999999999996,neu,9
-0.0258,0.35555555555555557,neu,18
-0.2698,0.32575757575757575,neu,22
0.8402,0.7678571428571428,pos,26
0.9081,0.6222222222222222,pos,25
-0.4404,0.4772727272727273,neu,13
-0.4404,0.0,neu,3
-0.4404,0.0,neu,4
-0.2732,0.9,neu,10
-0.8481,0.45,neg,7
-0.1761,0.2,neu,8
0.4939,0.375,neu,15
0.0,0.9,neu,3
0.3182,0.7296296296296295,neu,6
0.0,0.9,neu,4
